article_w_version,model_name,Statement_Match_Rate,Type_Match_Rate,Combined_Statement_Type_Match_Rate,Name_Match_Rate,Type_Name_Match_Rate,Type_Correct_Name_Match_Rate,Title_Match_Rate,Justification_Match_Rate,Title_Justification_Join_Match_Rate,All_Attribute_Accuracy,LLM_Miss_Rate,LLM_Unique_Discover_Rate,Both_Found_Count,Match_Counts,LLM_Unique_Discover_Counts,Total_Unique_Sentences
14-many-police-calls_avg,llama-3.1-405b-instruct,0.5739130434782608,0.9230769230769231,0.5304347826086957,0.9087912087912088,0.9087912087912088,0.9857142857142858,0.9087912087912088,0.3813186813186813,0.7615384615384615,0.4782608695652174,0.42608695652173917,0.13368700265251993,13.2,12.0,3.6,26.6
15-Newsom-declares-emergency_avg,llama-3.1-405b-instruct,0.5866666666666667,1.0,0.5866666666666667,0.7224175824175825,0.7224175824175825,0.7224175824175825,0.7224175824175825,0.20505494505494504,0.4826373626373626,0.16,0.4133333333333333,0.1126934984520124,8.8,7.6,2.0,17.0
16-America's-Sleeping-Giant_avg,llama-3.1-405b-instruct,0.6,0.9464285714285715,0.5692307692307692,0.5646825396825397,0.5111111111111111,0.5361111111111111,0.6813492063492064,0.04722222222222222,0.34404761904761905,0.21538461538461542,0.4,0.0819047619047619,7.8,5.0,1.2,14.2
17-homelessness-santa-clara_avg,llama-3.1-405b-instruct,0.63,0.7466666666666667,0.47000000000000003,0.9733333333333334,0.7333333333333333,0.9818181818181818,0.9733333333333334,0.0,0.0,0.32,0.37,0.009523809523809523,12.6,9.2,0.2,20.2
18-wyoming-primary-dems_avg,llama-3.1-405b-instruct,0.5692307692307692,0.925,0.523076923076923,0.95,0.925,1.0,0.925,0.11071428571428572,0.11071428571428572,0.3692307692307692,0.43076923076923085,0.12324929971988796,7.4,6.8,2.4,15.4
19-oakland-sues-SW-airlines_avg,llama-3.1-405b-instruct,0.35,0.9333333333333332,0.3333333333333333,0.6933333333333334,0.6933333333333334,0.76,0.6933333333333334,0.32333333333333336,0.5133333333333333,0.16666666666666666,0.65,0.05934065934065934,4.2,2.8,0.8,12.8
2-Best-DDR-player_avg,llama-3.1-405b-instruct,0.42857142857142855,0.975,0.41904761904761906,1.0,0.975,1.0,1.0,0.48686868686868684,0.48686868686868684,0.34285714285714286,0.5714285714285714,0.0,9.0,8.8,0.0,21.0
20-bill-easier-access_avg,llama-3.1-405b-instruct,0.475,1.0,0.475,1.0,1.0,1.0,0.8,0.0,0.3833333333333333,0.25,0.525,0.08888888888888888,3.8,3.8,0.8,8.8
21-trump-kamala-mispronounce_avg,llama-3.1-405b-instruct,0.7999999999999999,1.0,0.7999999999999999,0.9333333333333332,0.9333333333333332,0.9333333333333332,0.9333333333333332,0.0,0.3333333333333333,0.5999999999999999,0.2,0.11428571428571428,2.4,2.2,0.8,3.8
22-Judge-rules-breona-taylor_avg,llama-3.1-405b-instruct,0.45,0.9277777777777778,0.4125,0.9277777777777778,0.9055555555555556,0.975,0.9277777777777778,0.06666666666666667,0.1638095238095238,0.3,0.55,0.1298245614035088,7.2,6.4,2.4,18.4
23-black-landowners-11mins_avg,llama-3.1-405b-instruct,0.5875,0.7233333333333334,0.425,0.6161111111111112,0.6161111111111112,0.8511904761904763,0.6161111111111112,0.45444444444444443,0.4966666666666667,0.275,0.4125,0.11075460487225193,9.4,5.2,2.2,18.2
24-what-happens-to-migrants_avg,llama-3.1-405b-instruct,0.4,0.9714285714285715,0.3818181818181818,0.9380952380952381,0.9095238095238095,0.9333333333333333,0.9380952380952381,0.06190476190476191,0.9380952380952381,0.32727272727272727,0.6,0.10135746606334842,4.4,4.2,1.6,12.6
25-ballot-access-trans_avg,llama-3.1-405b-instruct,0.427027027027027,0.7908333333333334,0.34054054054054056,0.8422222222222222,0.7783333333333334,0.9818181818181818,0.8422222222222222,0.29722222222222217,0.5744444444444444,0.2810810810810811,0.572972972972973,0.09983635605586824,15.8,12.2,4.2,41.2
26-biden-harris-11M_avg,llama-3.1-405b-instruct,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.7966666666666666,1.0,1.0,4.0,5.0
27-general-assembly-landlords_avg,llama-3.1-405b-instruct,0.45882352941176474,0.9714285714285715,0.4470588235294118,0.9714285714285715,0.9428571428571428,0.9666666666666668,0.9714285714285715,0.5357142857142858,0.5357142857142858,0.2,0.5411764705882353,0.19047619047619047,7.8,7.4,4.0,21.0
28-scranton-ukrainian-weapons_avg,llama-3.1-405b-instruct,0.6363636363636364,1.0,0.6363636363636364,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.42857142857142855,0.7142857142857143,0.4545454545454545,0.36363636363636365,0.13974358974358975,7.0,6.0,1.8,12.8
29-tim-scott-deregulate_avg,llama-3.1-405b-instruct,0.5125,0.29444444444444445,0.15,0.24444444444444446,0.19722222222222224,0.7,0.24444444444444446,0.075,0.075,0.0,0.4875,0.17096270086982163,8.2,1.6,3.4,19.4
